Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
coc.nvim,2018-05-01 22:39:02 +0000 UTC,2022-08-31 09:42:08 +0000 UTC,TypeScript,82,617,13,2813,2022-07-31T17:43:21Z,20952
awesome-vscode,2016-02-07 23:02:45 +0000 UTC,2022-08-31 11:10:41 +0000 UTC,JavaScript,0,240,18,23,No Releases,20940
localForage,2013-10-31 00:10:06 +0000 UTC,2022-08-31 11:21:10 +0000 UTC,JavaScript,26,267,194,489,2021-08-18T21:21:42Z,20932
normalizr,2014-08-20 08:41:38 +0000 UTC,2022-08-31 08:53:22 +0000 UTC,JavaScript,26,98,0,0,2022-03-19T22:40:06Z,20915
pug,2010-06-23 01:05:42 +0000 UTC,2022-08-30 19:22:57 +0000 UTC,JavaScript,22,501,268,2259,2021-02-28T19:28:58Z,20899
serenity,2018-12-02 19:28:41 +0000 UTC,2022-08-31 06:52:22 +0000 UTC,C++,0,10568,514,2564,No Releases,20874
cascadia-code,2019-07-10 22:50:20 +0000 UTC,2022-08-31 09:06:17 +0000 UTC,Python,17,71,94,451,2021-12-13T20:36:38Z,20871
k3s,2018-05-31 01:37:46 +0000 UTC,2022-08-31 10:09:12 +0000 UTC,Go,425,1964,334,3149,2022-08-27T01:33:13Z,20850
hosts,2017-08-05 16:10:32 +0000 UTC,2022-08-31 08:27:33 +0000 UTC,,0,50,62,351,No Releases,20833
idiomatic.js,2011-05-25 17:48:59 +0000 UTC,2022-08-31 10:45:13 +0000 UTC,,0,114,32,48,No Releases,20817
50projects50days,2020-11-16 14:39:01 +0000 UTC,2022-08-31 10:56:29 +0000 UTC,CSS,0,32,0,0,No Releases,20808
NLP-progress,2018-06-22 17:43:55 +0000 UTC,2022-08-31 09:08:28 +0000 UTC,Python,3,467,31,65,2020-03-21T11:07:54Z,20801
vuepress,2018-04-05 16:58:38 +0000 UTC,2022-08-31 09:14:06 +0000 UTC,JavaScript,21,768,467,1403,2021-12-23T19:20:10Z,20761
ImHex,2020-11-10 14:27:00 +0000 UTC,2022-08-31 11:11:10 +0000 UTC,C++,40,186,56,415,2022-08-17T21:25:52Z,20759
appsmith,2020-06-30 04:07:36 +0000 UTC,2022-08-31 11:17:24 +0000 UTC,TypeScript,124,5570,2457,6974,2022-08-24T05:59:29Z,20746
JavaScript30,2016-12-07 19:15:31 +0000 UTC,2022-08-31 11:10:22 +0000 UTC,HTML,0,145,0,0,No Releases,20745
DesignPatternsPHP,2011-08-22 05:24:31 +0000 UTC,2022-08-30 20:28:45 +0000 UTC,PHP,0,277,0,111,No Releases,20745
NewPipe,2015-09-03 23:39:26 +0000 UTC,2022-08-31 06:58:46 +0000 UTC,Java,121,1284,1111,5883,2022-08-25T08:44:29Z,20726
