Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
fish-shell,2012-05-10 03:00:55 +0000 UTC,2022-08-31 11:05:06 +0000 UTC,C++,37,1436,458,5951,2022-07-20T10:15:47Z,19485
macOS-Security-and-Privacy-Guide,2015-08-31 03:36:35 +0000 UTC,2022-08-31 08:40:24 +0000 UTC,Python,0,138,12,230,No Releases,19483
ruby,2010-02-27 15:55:23 +0000 UTC,2022-08-31 11:11:04 +0000 UTC,Ruby,0,2949,0,0,No Releases,19449
homebrew-cask,2012-03-05 02:05:17 +0000 UTC,2022-08-31 07:32:22 +0000 UTC,Ruby,81,101556,22,6063,2016-01-11T17:32:34Z,19402
awesome-piracy,2018-10-09 22:09:56 +0000 UTC,2022-08-31 10:23:50 +0000 UTC,HTML,0,182,137,133,No Releases,19398
upterm,2015-03-22 07:00:24 +0000 UTC,2022-08-29 15:41:09 +0000 UTC,TypeScript,187,293,219,533,2018-05-29T12:46:01Z,19396
clashX,2018-06-13 02:51:24 +0000 UTC,2022-08-31 10:13:56 +0000 UTC,Swift,26,32,0,0,2022-06-22T12:28:51Z,19396
jenkins,2010-11-22 21:21:23 +0000 UTC,2022-08-31 08:38:28 +0000 UTC,Java,202,5255,0,0,2022-08-30T13:11:17Z,19388
winston,2010-12-29 18:49:51 +0000 UTC,2022-08-31 11:16:34 +0000 UTC,JavaScript,15,469,397,943,2022-06-30T19:31:18Z,19386
FileSaver.js,2011-07-15 03:27:54 +0000 UTC,2022-08-31 09:25:58 +0000 UTC,JavaScript,14,66,150,462,2020-05-28T02:05:15Z,19386
material-dialogs,2014-11-03 03:21:42 +0000 UTC,2022-08-31 10:48:36 +0000 UTC,Kotlin,92,179,0,0,2020-02-18T04:01:37Z,19367
dracula-theme,2013-10-27 12:39:02 +0000 UTC,2022-08-31 06:43:22 +0000 UTC,,24,84,72,468,2016-05-02T18:10:07Z,19366
lens,2018-11-12 06:28:56 +0000 UTC,2022-08-31 09:21:18 +0000 UTC,TypeScript,188,2870,804,1990,2022-08-30T15:13:55Z,19362
wttr.in,2015-12-26 21:03:43 +0000 UTC,2022-08-31 11:07:41 +0000 UTC,Python,0,246,202,298,No Releases,19353
awesome-deep-learning,2015-01-02 19:28:35 +0000 UTC,2022-08-31 11:07:00 +0000 UTC,,0,160,3,14,No Releases,19327
HowToLiveLonger,2022-04-16 04:15:18 +0000 UTC,2022-08-31 10:15:32 +0000 UTC,,0,9,72,32,No Releases,19302
bazel,2014-06-12 16:00:38 +0000 UTC,2022-08-31 10:17:15 +0000 UTC,Java,169,254,2403,7741,2022-08-24T17:07:44Z,19300
react-three-fiber,2019-02-25 14:31:51 +0000 UTC,2022-08-31 11:07:04 +0000 UTC,TypeScript,18,408,26,695,2022-08-22T13:26:40Z,19299
awesome-datascience,2014-07-05 07:07:43 +0000 UTC,2022-08-31 04:49:54 +0000 UTC,,0,272,0,42,No Releases,19272
nightmare,2014-04-05 22:19:51 +0000 UTC,2022-08-30 23:00:22 +0000 UTC,JavaScript,1,251,177,1065,2014-09-30T16:30:41Z,19266
js-stack-from-scratch,2016-10-02 13:31:23 +0000 UTC,2022-08-31 09:02:07 +0000 UTC,JavaScript,1,55,39,118,2017-03-15T03:08:08Z,19243
blueprint,2016-10-25 21:17:50 +0000 UTC,2022-08-31 10:36:13 +0000 UTC,TypeScript,110,2280,645,2128,2018-06-11T20:53:03Z,19242
openssl,2013-01-15 22:34:48 +0000 UTC,2022-08-31 10:57:07 +0000 UTC,C,0,111,1617,5888,No Releases,19218
tools,2020-02-20 05:57:33 +0000 UTC,2022-08-31 09:24:53 +0000 UTC,Rust,30,1984,87,769,2022-08-04T15:49:44Z,19216
osquery,2014-07-29 20:27:33 +0000 UTC,2022-08-31 09:34:58 +0000 UTC,C++,120,3980,501,2507,2022-08-17T16:28:37Z,19212
pnpm,2016-01-28 07:40:43 +0000 UTC,2022-08-31 11:00:45 +0000 UTC,TypeScript,772,1387,793,1830,2022-08-24T11:55:25Z,19176
postgrest,2014-06-13 00:23:00 +0000 UTC,2022-08-31 08:41:26 +0000 UTC,Haskell,44,792,170,1143,2022-08-19T04:35:41Z,19135
pytudes,2017-03-01 05:43:35 +0000 UTC,2022-08-30 11:25:22 +0000 UTC,Jupyter Notebook,0,52,16,17,No Releases,19133
100-Days-Of-ML-Code,2018-08-05 13:32:48 +0000 UTC,2022-08-31 05:16:08 +0000 UTC,Jupyter Notebook,0,46,10,40,No Releases,19124
vnpy,2015-03-02 03:36:58 +0000 UTC,2022-08-31 09:22:26 +0000 UTC,Python,52,982,14,1894,2022-08-14T04:18:14Z,19117
TDengine,2019-07-11 08:33:48 +0000 UTC,2022-08-31 11:23:33 +0000 UTC,C,65,12355,460,2542,2022-08-23T01:36:38Z,19108
delve,2014-05-20 19:24:43 +0000 UTC,2022-08-31 10:41:59 +0000 UTC,Go,21,1331,101,1345,2022-08-23T06:35:35Z,19103
dapr,2019-06-19 00:49:06 +0000 UTC,2022-08-31 11:21:52 +0000 UTC,Go,123,2200,307,2038,2022-08-11T19:54:55Z,19097
architecture.of.internet-product,2018-04-30 10:25:31 +0000 UTC,2022-08-31 09:23:28 +0000 UTC,HTML,0,1,8,3,No Releases,19091
table,2016-10-20 17:25:08 +0000 UTC,2022-08-31 10:27:11 +0000 UTC,TypeScript,160,589,24,2089,2022-08-05T16:51:59Z,19084
joi,2012-09-16 16:38:06 +0000 UTC,2022-08-31 03:30:10 +0000 UTC,JavaScript,0,407,125,2081,No Releases,19081
chalk,2013-08-03 00:20:12 +0000 UTC,2022-08-31 10:34:52 +0000 UTC,JavaScript,22,93,0,330,2022-03-08T18:43:33Z,19053
jumpserver,2014-07-04 03:54:59 +0000 UTC,2022-08-31 07:50:38 +0000 UTC,Python,141,3753,97,4327,2022-08-22T06:25:48Z,19053
exa,2014-05-22 12:45:16 +0000 UTC,2022-08-31 11:11:47 +0000 UTC,Rust,12,223,229,565,2021-04-12T21:28:31Z,19045
ink,2017-06-12 06:12:28 +0000 UTC,2022-08-31 10:20:57 +0000 UTC,TypeScript,43,165,68,217,2021-10-07T19:33:27Z,19031
fairseq,2017-08-29 16:26:12 +0000 UTC,2022-08-31 10:35:18 +0000 UTC,Python,16,122,647,2898,2022-06-27T19:12:01Z,19031
freqtrade,2017-05-17 23:48:53 +0000 UTC,2022-08-31 10:58:10 +0000 UTC,Python,61,3607,43,3148,2022-08-30T21:01:19Z,19029
srs,2015-04-29 06:59:32 +0000 UTC,2022-08-31 09:39:07 +0000 UTC,C++,47,214,189,924,2022-08-24T10:25:30Z,19015
YesPlayMusic,2020-10-09 10:04:21 +0000 UTC,2022-08-31 11:02:49 +0000 UTC,Vue,23,239,277,1057,2022-04-30T17:25:32Z,19011
popmotion,2014-08-17 16:23:07 +0000 UTC,2022-08-29 15:09:09 +0000 UTC,JavaScript,0,294,34,549,No Releases,19009
graphql-js,2015-06-30 12:16:50 +0000 UTC,2022-08-30 22:09:31 +0000 UTC,TypeScript,143,2195,129,888,2022-08-16T19:23:06Z,18998
skill-map,2015-11-17 11:17:38 +0000 UTC,2022-08-31 11:14:22 +0000 UTC,HTML,2,42,68,17,2015-11-20T08:12:18Z,18995
remix,2020-10-26 19:57:28 +0000 UTC,2022-08-31 10:40:39 +0000 UTC,TypeScript,89,1308,176,868,2022-08-25T18:45:32Z,18992
DoKit,2018-08-14 10:32:07 +0000 UTC,2022-08-31 10:14:32 +0000 UTC,Java,10,338,164,473,2022-07-28T09:16:23Z,18982
firecracker,2017-10-19 06:18:47 +0000 UTC,2022-08-31 07:29:13 +0000 UTC,Rust,53,1537,122,1138,2022-07-29T11:05:18Z,18973
go-micro,2015-01-13 23:30:18 +0000 UTC,2022-08-31 10:59:58 +0000 UTC,Go,317,1324,81,857,2022-08-17T08:57:30Z,18952
chinese-programmer-wrong-pronunciation,2017-02-15 09:02:40 +0000 UTC,2022-08-31 10:51:56 +0000 UTC,JavaScript,0,122,112,111,No Releases,18950
SpinKit,2013-12-12 23:29:41 +0000 UTC,2022-08-31 07:42:13 +0000 UTC,CSS,9,51,5,53,2019-10-30T13:11:49Z,18930
cli,2013-07-13 19:32:06 +0000 UTC,2022-08-31 10:59:16 +0000 UTC,Go,54,602,127,537,2022-08-14T12:43:27Z,18915
my-mac-os,2016-03-04 12:26:34 +0000 UTC,2022-08-31 06:16:00 +0000 UTC,,0,16,3,71,No Releases,18910
NES.css,2018-09-24 01:49:11 +0000 UTC,2022-08-31 10:30:53 +0000 UTC,SCSS,7,222,35,138,2019-12-17T12:05:20Z,18892
lux,2018-02-24 11:29:03 +0000 UTC,2022-08-31 11:05:03 +0000 UTC,Go,74,244,378,475,2022-05-05T02:57:17Z,18891
Public-APIs,2016-01-13 18:53:25 +0000 UTC,2022-08-31 10:05:58 +0000 UTC,,0,379,0,49,No Releases,18890
javascript-testing-best-practices,2019-07-04 11:08:12 +0000 UTC,2022-08-31 11:15:43 +0000 UTC,JavaScript,0,118,36,14,No Releases,18872
SpaceVim,2016-12-26 04:40:55 +0000 UTC,2022-08-31 08:17:49 +0000 UTC,Lua,21,2222,0,0,2022-07-02T05:36:51Z,18867
vue-router,2013-12-11 19:37:46 +0000 UTC,2022-08-31 09:30:07 +0000 UTC,JavaScript,89,624,63,2718,2022-08-25T06:30:35Z,18862
examples,2016-08-24 03:12:48 +0000 UTC,2022-08-31 09:10:22 +0000 UTC,Python,0,327,138,404,No Releases,18851
hyperapp,2017-01-20 05:20:21 +0000 UTC,2022-08-31 08:17:14 +0000 UTC,JavaScript,26,279,5,573,2019-07-26T19:54:15Z,18814
Paddle,2016-08-15 06:59:08 +0000 UTC,2022-08-31 11:00:08 +0000 UTC,C++,56,22306,2044,13183,2022-08-15T03:10:56Z,18781
fastclick,2012-02-13 08:38:00 +0000 UTC,2022-08-31 06:55:20 +0000 UTC,HTML,3,67,212,181,2015-01-26T21:19:01Z,18772
recharts,2015-08-07 06:50:27 +0000 UTC,2022-08-31 11:07:41 +0000 UTC,TypeScript,0,361,408,2014,No Releases,18766
SnapKit,2014-06-05 21:13:40 +0000 UTC,2022-08-31 10:57:08 +0000 UTC,Swift,12,125,79,467,2022-04-13T04:19:00Z,18763
kratos,2019-01-10 10:42:31 +0000 UTC,2022-08-31 10:01:22 +0000 UTC,Go,53,1052,74,796,2022-08-17T10:18:27Z,18733
reselect,2015-07-01 11:06:45 +0000 UTC,2022-08-30 16:14:20 +0000 UTC,TypeScript,35,126,14,356,2022-06-07T00:07:16Z,18730
refined-github,2016-02-15 16:45:02 +0000 UTC,2022-08-31 09:14:03 +0000 UTC,TypeScript,85,2358,149,2944,2022-08-23T17:27:54Z,18716
eng-practices,2019-09-04 20:47:01 +0000 UTC,2022-08-31 10:05:23 +0000 UTC,,0,8,5,6,No Releases,18711
awesome-falsehood,2016-09-08 09:13:47 +0000 UTC,2022-08-31 08:46:34 +0000 UTC,,0,82,1,23,No Releases,18693
Skeleton,2011-04-30 20:04:24 +0000 UTC,2022-08-31 06:31:52 +0000 UTC,CSS,6,25,74,126,2014-12-29T18:29:28Z,18689
ws,2011-11-09 22:32:45 +0000 UTC,2022-08-31 08:53:05 +0000 UTC,JavaScript,94,478,5,1381,2022-07-15T15:25:22Z,18664
en.javascript.info,2017-06-03 14:27:57 +0000 UTC,2022-08-31 10:45:21 +0000 UTC,HTML,0,1833,79,654,No Releases,18655
eladmin,2018-12-14 08:54:24 +0000 UTC,2022-08-31 08:55:19 +0000 UTC,Java,0,71,21,589,No Releases,18650
flatbuffers,2014-05-19 18:33:01 +0000 UTC,2022-08-31 10:38:59 +0000 UTC,C++,20,1545,139,1878,2022-08-30T04:07:08Z,18644
jstraining,2016-10-27 12:00:26 +0000 UTC,2022-08-31 09:18:10 +0000 UTC,,0,18,0,41,No Releases,18638
phpunit,2009-12-24 13:16:23 +0000 UTC,2022-08-31 08:19:16 +0000 UTC,PHP,0,793,153,2990,No Releases,18632
PHPMailer,2011-08-23 07:57:17 +0000 UTC,2022-08-30 21:48:42 +0000 UTC,PHP,56,404,27,1880,2022-08-22T09:22:17Z,18611
flameshot,2017-05-10 19:44:51 +0000 UTC,2022-08-31 07:57:30 +0000 UTC,C++,25,762,319,1562,2022-07-03T13:42:21Z,18610
HarmonyOS,2019-08-09 11:24:00 +0000 UTC,2022-08-31 03:03:02 +0000 UTC,C,0,15,0,0,No Releases,18602
skrollr,2012-03-18 15:41:35 +0000 UTC,2022-08-30 22:24:02 +0000 UTC,HTML,0,35,243,533,No Releases,18574
vimium,2009-09-20 07:08:19 +0000 UTC,2022-08-31 07:31:54 +0000 UTC,JavaScript,0,595,982,2097,No Releases,18561
jitsi-meet,2013-12-16 12:51:09 +0000 UTC,2022-08-31 09:47:13 +0000 UTC,JavaScript,42,5592,236,5109,2022-08-11T19:45:53Z,18550
mediapipe,2019-06-13 19:16:41 +0000 UTC,2022-08-31 11:23:45 +0000 UTC,C++,39,1,378,3077,2022-06-29T18:45:02Z,18530
modern-cpp-tutorial,2016-08-19 14:39:15 +0000 UTC,2022-08-31 07:40:56 +0000 UTC,C++,3,98,4,105,2021-08-11T11:20:31Z,18507
astro,2021-03-15 17:19:47 +0000 UTC,2022-08-31 11:22:13 +0000 UTC,TypeScript,634,2497,124,1468,2022-08-30T16:47:28Z,18495
tachiyomi,2015-10-07 09:51:12 +0000 UTC,2022-08-31 11:05:07 +0000 UTC,Kotlin,68,1298,483,5652,2022-08-14T15:49:26Z,18495
system-design-interview,2014-05-18 02:40:53 +0000 UTC,2022-08-31 05:50:57 +0000 UTC,,0,26,7,6,No Releases,18486
wiki,2016-08-16 19:35:26 +0000 UTC,2022-08-31 11:06:01 +0000 UTC,Vue,101,314,0,0,2022-08-06T05:18:44Z,18483
nanoid,2017-08-05 05:24:35 +0000 UTC,2022-08-31 11:06:03 +0000 UTC,JavaScript,1,157,3,180,2020-03-26T22:32:28Z,18469
aseprite,2014-08-19 23:44:50 +0000 UTC,2022-08-31 11:03:29 +0000 UTC,C++,83,155,1257,1787,2022-08-02T23:23:34Z,18459
web-starter-kit,2014-04-07 08:45:18 +0000 UTC,2022-08-26 01:42:42 +0000 UTC,HTML,14,234,50,535,2016-12-13T19:59:59Z,18455
SwitchyOmega,2012-06-08 15:32:30 +0000 UTC,2022-08-31 07:23:22 +0000 UTC,CoffeeScript,51,7,584,1692,2018-08-27T03:42:07Z,18444
wenyan,2019-12-08 20:21:32 +0000 UTC,2022-08-31 09:43:17 +0000 UTC,TypeScript,13,168,176,306,2020-07-28T23:53:02Z,18438
phoenix,2014-01-20 14:14:11 +0000 UTC,2022-08-31 10:12:25 +0000 UTC,Elixir,20,2098,12,2181,2020-05-22T01:08:47Z,18437
source-code-pro,2012-08-09 23:14:02 +0000 UTC,2022-08-30 07:46:45 +0000 UTC,CSS,13,47,61,162,2021-01-15T05:24:07Z,18386
dgraph,2015-08-25 07:15:56 +0000 UTC,2022-08-30 17:18:50 +0000 UTC,Go,100,4304,69,2290,2021-12-02T15:50:09Z,18384
